"constituency","lon","lat"
"Bouches-du-Rhône",5.3102505,43.5911679
"Pyrénées-Orientales",2.539603,42.6012912
"Charente-Maritime",-0.7733188,45.74949
"Puy-de-Dôme",2.964578,45.772466
"Pyrénées-Atlantiques",-0.7532809,43.3269942
"Nord",3.2642436,50.3851246
"Morbihan",-2.9001865,47.8852929
"Aisne",3.4417368,49.4769199
"Vaucluse",5.1432068,44.0565054
"Seine-Maritime",1.077483,49.922992
"Somme",2.2707095,49.914518
"Isère",5.9293476,44.9957745
"Maine-et-Loire",-0.4877852,47.2913545
"Sarthe",0.1655803,47.9217014
"Gard",4.1513764,43.9446996
"Pas-de-Calais",2.3244679,50.5732769
"Lot-et-Garonne",0.4502368,44.2470173
"Yvelines",1.8256572,48.7850939
"Orne",0.0848201,48.6388567
"Haute-Garonne",1.135302,43.4010462
"Val-d'Oise",2.1581351,49.0615901
"Eure",0.9582114,49.1181763
"Rhône",4.6108043,45.7351456
"Aude",2.3813621,43.0724667
"Saône-et-Loire",4.486671,46.5827512
"Hérault",3.2583626,43.5912356
"Côtes d'Armor",-3.3263676,48.5108101
"Essonne",2.1569416,48.4585698
"Val-de-Marne",2.4740337,48.7931426
"Côte-d'Or",4.635412,47.5126795
"Loiret",2.2018172,47.900771
"Manche",-1.3115949,49.114712
"Seine-St-Denis",2.4845729,48.9137455
"Loire-Atlantique",-1.8157647,47.2780468
"Gironde",-0.4502368,44.849665
"Finistère",-3.9300525,48.2520249
"Mayenne",-0.620935,48.3061239
"Moselle",6.5527641,49.0983839
"Corrèze",1.873739,45.372114
"Haute-Savoie",6.5389621,46.1756788
"Dordogne",0.7572205,45.1469486
"Alpes-de-Haute-Provence",6.2375947,44.0778716
"Doubs",6.349001,46.9276
"Cantal",2.6326062,45.1191997
"Hautes-Pyrénées",0.1494988,43.0193924
"Vienne",4.874339,45.525587
"Loir-et-Cher",1.4159072,47.6761905
"Var",6.2375947,43.467646
"Mayotte",-1.147844,44.436078
"Ille-et-Vilaine",-1.5300695,48.2292016
"Paris",2.3522219,48.856614
"Calvados",-0.4330578,49.1213315
"Tarn",1.9881527,43.9264401
"Bas-Rhin",7.5252938,48.6343172
"Hauts-de-Seine",2.2188068,48.828508
"Ariège",1.443469,42.9326292
"Vendée",-1.4482662,46.6613966
"Haute-Vienne",1.4025484,45.7435173
"Meurthe-et-Moselle",6.0947014,48.7997007
"Savoie",5.742806,44.771079
"Indre-et-Loire",0.816097,47.2894925
"Seine-et-Marne",2.999366,48.841082
"Indre",1.4482662,46.6613966
"Cher",2.4671908,46.954005
"Drôme",5.2266675,44.7311896
"Haute-Loire",3.9266366,45.0821226
"Ardèche",4.5624426,44.759629
"Ardennes",4.6285053,49.7624642
"Eure-et-Loir",1.1989814,48.5525242
"Hautes-Alpes",6.3226072,44.6008723
"Tarn-et-Garonne",1.2891036,44.0126679
"Haute-Saône",6.1556282,47.7569806
"Yonne",3.6079823,47.8652728
"Ain",5.1307681,46.2475706
"Corse-du-Sud",8.9245343,41.8102633
"Allier",3.4167655,46.3115552
"Haute-Corse",9.2785583,42.4097877
"Deux-Sèvres",-0.3962844,46.5926541
"Loire",4.052545,45.9846475
"Lot",1.6760691,44.5379358
"Gers",0.4502368,43.6366479
"Alpes-Maritimes",7.179026,43.9466791
"Aveyron",2.6189273,44.2179747
"Landes",-0.7532809,43.9412045
"Haute-Marne",5.1071322,48.1260968
"Jura",5.6729159,46.762475
"Meuse",5.2823997,49.0824319
"Charente",0.1534761,45.7519958
"Aube",4.3732462,48.1563418
"Haut-Rhin",7.2441099,47.9315041
"Marne",4.1475445,49.128754
"Oise",2.4146396,49.4214568
"Vosges",6.3355935,48.1446427
"Nièvre",3.5294522,47.2381708
"Lozère",3.5812692,44.494203
"Territoire-de-Belfort",6.9207716,47.5946573
"Creuse",2.0627832,46.0377633
"Côtes-du-Nord",-3.3263676,48.5108101
"Basses-Alpes",-1.5509091,47.174221
