"constituency","lon","lat"
"Hautes-Pyrénées",0.1494988,43.0193924
"Yvelines",1.8256572,48.7850939
"Territoire de Belfort",6.9207716,47.5946573
"Comores",3.7825946,43.6075901
"Sarthe",0.1655803,47.9217014
"Pyrénées-Orientales",2.539603,42.6012912
"Paris",2.3522219,48.856614
"Hérault",3.2583626,43.5912356
"Charente",0.1534761,45.7519958
"Nord",3.2642436,50.3851246
"Aube",4.3732462,48.1563418
"Pyrénées-Atlantiques",-0.7532809,43.3269942
"Marne",4.1475445,49.128754
"Var",6.2375947,43.467646
"Orne",0.0848201,48.6388567
"Calvados",-0.4330578,49.1213315
"Bouches-du-Rhône",5.3102505,43.5911679
"Val-d'Oise",2.1581351,49.0615901
"Finistère",-3.9300525,48.2520249
"Allier",3.4167655,46.3115552
"Basses-Alpes",6.2375947,44.0778716
"Hautes-Alpes",6.3226072,44.6008723
"Hauts-de-Seine",2.2188068,48.828508
"Corrèze",1.873739,45.372114
"Loire-Atlantique",-1.8157647,47.2780468
"Ariège",1.443469,42.9326292
"Côtes-du-Nord",-3.3263676,48.5108101
"Alpes-Maritimes",7.179026,43.9466791
"Mayenne",-0.620935,48.3061239
"Côte-d'Or",4.635412,47.5126795
"Nièvre",3.5294522,47.2381708
"Pas-de-Calais",2.3244679,50.5732769
"Lozère",3.5812692,44.494203
"Savoie",5.742806,44.771079
"Seine  Hauts-de-Seine",0.3526133,49.4382152
"Puy-de-Dôme",2.964578,45.772466
"Aude",2.3813621,43.0724667
"Gironde",-0.4502368,44.849665
"Meurthe-et-Moselle",6.0947014,48.7997007
"Seine",0.3526133,49.4382152
"Gard",4.1513764,43.9446996
"Seine   de Paris",2.3522219,48.856614
"Loir-et-Cher",1.4159072,47.6761905
"Bône",-0.780508,46.485785
"Indre",1.4482662,46.6613966
"Vaucluse",5.1432068,44.0565054
"Haute-Marne",5.1071322,48.1260968
"Seine-et-Oise  Yvelines",2.0812519,49.0030587
"Haute-Garonne",1.135302,43.4010462
"Haute-Saône",6.1556282,47.7569806
"Rhône",4.6108043,45.7351456
"Vienne",4.874339,45.525587
"Seine-et-Oise  Val-de-Marne",2.9307629,49.033447
"Isère",5.9293476,44.9957745
"Cantal",2.6326062,45.1191997
"Essonne",2.1569416,48.4585698
"Seine-Maritime",0.9748439,49.6054187
"Seine-Saint-Denis",2.4845729,48.9137455
"Val-de-Marne",2.4740337,48.7931426
"Ain",5.1307681,46.2475706
"Meuse",5.2823997,49.0824319
"Charente-Maritime",-0.7733188,45.74949
"Loire",4.052545,45.9846475
"Ardennes",5.4100979,50.0288711
"Aisne",3.4417368,49.4769199
"Seine-et-Marne",2.999366,48.841082
"Moselle",6.5527641,49.0983839
"Aveyron",2.6189273,44.2179747
"Morbihan",-2.9001865,47.8852929
